codigo,producto,marca,modelo,anio,info,oem,ficha_medidas,ficha_oem,ficha_info,imagen_producto,url_ficha,fuente,titulo,categoria,pieza,posicion,lado,diametro_int,diametro_ext,altura,diametro_int_filtro,diametro_ext_filtro,altura_filtro,abs
RR30,RODAMIENTO,CITROEN,SAXO,01>05,Pieza: RUEDA | Posición: TRAS | Lado: IZQ/DER | Ø int: 25 | Ø ext: 52 | Alt: 37 | ABS: NO,FC 12025 | BT2B445539CC | 4RR12025 | PW25520037CSHD2 | FC12025S01 | B292-1447HB | 513001,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,TRAS,IZQ/DER,25,52,37,25,52,37,NO
RCC2645,RODAMIENTO,CITROEN,VISA,79>,Pieza: CONO/CUBETA | Posición: DEL | Lado: EXT | Ø int: 25 | Ø ext: 47 | Alt: 15 | ABS: NO,32005 X | 32005 X/QVB015 | 4RR32005 | 32005X,,,,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,DEL,EXT,25,47,15,25,47,15,NO
RR30,RODAMIENTO,CITROEN,VISA,,Pieza: RUEDA | Posición: TRAS | Lado: IZQ/DER | Ø int: 25 | Ø ext: 52 | Alt: 37 | ABS: NO,FC 12025 | BT2B445539CC | 4RR12025 | PW25520037CSHD2 | FC12025S01 | B292-1447HB | 513001,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,TRAS,IZQ/DER,25,52,37,25,52,37,NO
RR11,RODAMIENTO,CITROEN,XANTIA,93>01,Pieza: RUEDA | Posición: DEL | Lado: IZQ/DER | Ø int: 42 | Ø ext: 82 | Alt: 36 | ABS: NO,GB 12163 | BAH-0185D | 4RR12163 | PW42820036CS | GB12875 | 713640180 | 513073,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,42,82,36,42,82,36,NO
RR08A,RODAMIENTO,CITROEN,XSARA,92>05,Motor: 1.6 16V | Pieza: RUEDA | Posición: DEL | Lado: IZQ/DER | Ø int: 37 | Ø ext: 72 | Alt: 33 | ABS: NO,GB 40547 | BAH-0051B | 4RR40547 | PW37720033CS | GB40547S01 | 713650060,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,37,72,33,37,72,33,NO
RR21,RODAMIENTO,CITROEN,XSARA,92>05,Motor: 1.6 16V | Pieza: RUEDA | Posición: DEL | Lado: IZQ/DER | Ø int: 37 | Ø ext: 72 | Alt: 33 | ABS: SI,GB 40547 | BAH-0051B | 4RR40547 | PW37720033CS | GB40547S01 | 713650060,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,37,72,33,37,72,33,SI
RR11,RODAMIENTO,CITROEN,XSARA,95>05,Pieza: RUEDA | Posición: DEL | Lado: IZQ/DER | Ø int: 42 | Ø ext: 82 | Alt: 36 | ABS: NO,GB 12163 | BAH-0185D | 4RR12163 | PW42820036CS | GB12875 | 713640180 | 513073,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,42,82,36,42,82,36,NO
RR28,RODAMIENTO,CITROEN,XSARA,98>99,Pieza: RUEDA | Posición: DEL | Lado: IZQ/DER | Ø int: 35 | Ø ext: 72 | Alt: 33 | ABS: NO,GB 40582 | BA2B446762B | 4RR12094 | PW35720033CS | GB12094 | 548083,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,35,72,33,35,72,33,NO
RCC70,RODAMIENTO,CITROEN,XSARA,92>,Pieza: SUSPENSION | Posición: TRAS | Lado: EXT | Ø int: 47 | Ø ext: 53 | Alt: 24.5 | ABS: NO | Obs: TORRINTONG,47260 | 4RR47260 + 4RR47937,,,,,,CILBRAKE,,RODAMIENTOS,SUSPENSION,TRAS,EXT,47,53,24.5,47,53,24,NO
RCC80,RODAMIENTO,CITROEN,XSARA,92>,Pieza: SUSPENSION | Posición: TRAS | Lado: INT | Ø int: 42 | Ø ext: 49 | Alt: 22 | ABS: NO | Obs: TORRINTONG,47937,,,,,,CILBRAKE,,RODAMIENTOS,SUSPENSION,TRAS,INT,42,49,22,42,49,22,NO
